Date,Russia,DOE,OPEC,CoVID,Oil_Crash,_Mean-Oil-Stocks,Diff_^SPX,Diff_CL=F,_Mean-Oil-Stocks*100,Diff_^SPX*100,Diff_CL=F*100
7/2/2012,0,0,0,0,0,0.002427959317103707,0.0024593113157624913,-0.014241985611012087,0.2427959317103707,0.24593113157624913,-1.4241985611012087
7/3/2012,0,0,0,0,0,0.020045814965542585,0.0062321108631679945,0.04668661089085813,2.0045814965542585,0.6232110863167994,4.668661089085813
7/5/2012,0,0,0,0,0,-0.01054805949605199,-0.0046870230309741245,-0.005019420750907888,-1.054805949605199,-0.46870230309741245,-0.5019420750907888
7/6/2012,0,0,0,0,0,-0.00892419563093188,-0.00943264946713962,-0.03175881946449033,-0.892419563093188,-0.943264946713962,-3.175881946449033
7/9/2012,0,0,0,0,0,-0.003983029870769354,-0.0016388318166757898,0.018235653891985226,-0.3983029870769354,-0.16388318166757898,1.8235653891985226
7/10/2012,0,0,0,0,0,-0.01509109986066981,-0.008125926498228409,-0.024188792340190668,-1.509109986066981,-0.8125926498228409,-2.418879234019067
7/11/2012,0,0,0,0,0,0.007540826915495014,-0.000014923577632885987,0.022643234579458715,0.7540826915495014,-0.0014923577632885987,2.2643234579458715
7/12/2012,0,0,0,0,0,-0.0002384430244183148,-0.004987097282612596,0.0031465363027958215,-0.02384430244183148,-0.4987097282612596,0.31465363027958215
7/13/2012,0,0,0,0,0,0.019866489738182117,0.01649736234989274,0.011849403129292613,1.9866489738182118,1.6497362349892741,1.1849403129292613
7/16/2012,0,0,0,0,0,0.005236150213050207,-0.002314313728559836,0.015269826111993012,0.5236150213050207,-0.23143137285598359,1.5269826111993012
7/17/2012,0,0,0,0,0,0.010164331367767537,0.007409672577889825,0.00893363013458126,1.0164331367767536,0.7409672577889825,0.8933630134581261
7/18/2012,0,0,0,0,0,0.008511725875204735,0.006680490923747229,0.007285379029204453,0.8511725875204734,0.6680490923747229,0.7285379029204453
7/19/2012,0,0,0,0,0,-0.00009340891710190684,0.002717099891568653,0.031044851788807337,-0.009340891710190685,0.2717099891568653,3.1044851788807337
7/20/2012,0,0,0,0,0,0.0007942634458144073,-0.010061659913606968,-0.01316642750362862,0.07942634458144074,-1.0061659913606968,-1.316642750362862
7/23/2012,0,0,0,0,0,-0.010449961482842024,-0.00890905606969361,-0.03608927125600658,-1.0449961482842025,-0.890905606969361,-3.6089271256006583
7/24/2012,0,0,0,0,0,-0.01476069830592057,-0.009040932945028057,0.004084418117137334,-1.476069830592057,-0.9040932945028057,0.4084418117137334
7/25/2012,0,0,0,0,0,-0.004663992506832901,-0.000313861457302278,0.005310748256532438,-0.4663992506832901,-0.0313861457302278,0.5310748256532438
7/26/2012,0,0,0,0,0,0.01866268008433254,0.016540974699349675,0.004720671722859171,1.866268008433254,1.6540974699349675,0.4720671722859171
7/27/2012,0,0,0,0,0,0.020959140086189976,0.01908056557933535,0.008278307068153135,2.0959140086189976,1.9080565579335351,0.8278307068153135
7/30/2012,0,0,0,0,0,0.007577817342344685,-0.0004833595887074882,-0.003883262895670647,0.7577817342344685,-0.04833595887074882,-0.3883262895670647
7/31/2012,0,0,0,0,0,-0.002295531836950517,-0.0043168283608459035,-0.019157955492195344,-0.2295531836950517,-0.43168283608459035,-1.9157955492195344
8/1/2012,0,0,0,0,0,0.003089267521826015,-0.0028999798130677767,0.009652579230995828,0.30892675218260146,-0.2899979813067777,0.9652579230995828
